Exchange Date,Close,%Chg,Volume
03-May-2012,53.768,0.000 ,3175412 
04-May-2012,53.257,-0.001 ,3124570 
07-May-2012,52.809,-0.011 ,5406515 
08-May-2012,52.394,0.000 ,3728503 
09-May-2012,51.571,-0.008 ,4582599 
10-May-2012,51.981,0.005 ,4309652 
11-May-2012,51.613,-0.002 ,3594987 
14-May-2012,52.299,0.019 ,4785399 
15-May-2012,52.040,-0.003 ,4573423 
16-May-2012,51.032,-0.017 ,5006931 
17-May-2012,50.186,-0.014 ,7654362 
18-May-2012,48.357,-0.032 ,7299981 
21-May-2012,48.913,0.005 ,5277598 
22-May-2012,48.623,0.005 ,4269158 
23-May-2012,47.934,-0.010 ,5032409 
24-May-2012,47.891,-0.002 ,2740704 
25-May-2012,47.265,-0.012 ,8097765 
28-May-2012,48.279,0.011 ,3050326 
29-May-2012,48.842,0.012 ,3936636 
30-May-2012,48.027,-0.003 ,3779648 
31-May-2012,47.792,-0.007 ,5474690 
01-Jun-2012,47.929,0.006 ,3951399 
04-Jun-2012,47.449,-0.013 ,4228872 
05-Jun-2012,48.437,0.019 ,5097692 
06-Jun-2012,49.396,0.001 ,3788651 
07-Jun-2012,50.226,0.020 ,4460960 
08-Jun-2012,49.751,-0.011 ,3835690 
12-Jun-2012,50.364,0.007 ,2872073 
13-Jun-2012,50.004,-0.004 ,3007158 
14-Jun-2012,50.403,-0.001 ,3094059 
15-Jun-2012,51.020,0.006 ,3816372 
18-Jun-2012,51.877,0.013 ,3491011 
19-Jun-2012,52.266,0.001 ,2931267 
20-Jun-2012,52.798,0.010 ,6918154 
21-Jun-2012,51.681,-0.006 ,8793740 
22-Jun-2012,51.719,-0.002 ,3414737 
25-Jun-2012,51.287,-0.003 ,3897819 
26-Jun-2012,51.729,0.003 ,3372758 
27-Jun-2012,52.268,0.009 ,3921954 
28-Jun-2012,52.535,0.009 ,5840979 
29-Jun-2012,54.044,0.009 ,12322163 
02-Jul-2012,54.561,0.008 ,4029682 
03-Jul-2012,54.517,-0.004 ,3954604 
04-Jul-2012,54.735,0.005 ,3389456 
05-Jul-2012,55.055,0.004 ,3631797 
06-Jul-2012,54.917,0.005 ,3985339 
09-Jul-2012,54.613,-0.006 ,2657501 
10-Jul-2012,54.151,-0.006 ,3557484 
11-Jul-2012,54.660,0.003 ,3115045 
12-Jul-2012,53.929,-0.002 ,2739229 
13-Jul-2012,54.678,0.005 ,4184173 
16-Jul-2012,55.069,0.005 ,3438782 
17-Jul-2012,56.302,0.016 ,5786384 
18-Jul-2012,56.941,0.006 ,4040155 
19-Jul-2012,57.944,0.012 ,5909629 
20-Jul-2012,56.862,-0.014 ,4433906 
23-Jul-2012,55.827,-0.007 ,3882601 
24-Jul-2012,55.683,0.001 ,2407405 
25-Jul-2012,56.228,0.001 ,2767304 
26-Jul-2012,57.288,0.010 ,6832240 
27-Jul-2012,58.575,0.014 ,13766123 
30-Jul-2012,59.724,0.018 ,7474581 
31-Jul-2012,60.080,0.006 ,6065229 
01-Aug-2012,59.569,-0.005 ,3759333 
02-Aug-2012,58.879,-0.012 ,6203655 
03-Aug-2012,58.846,-0.011 ,4265392 
06-Aug-2012,59.250,0.007 ,3102608 
07-Aug-2012,59.638,0.008 ,4694158 
08-Aug-2012,60.521,0.014 ,6870727 
09-Aug-2012,59.995,-0.010 ,4910064 
10-Aug-2012,58.837,-0.019 ,5866855 
13-Aug-2012,58.231,-0.004 ,2783129 
14-Aug-2012,57.930,-0.003 ,3584877 
15-Aug-2012,58.546,0.009 ,4728214 
16-Aug-2012,59.630,0.018 ,6939711 
17-Aug-2012,59.413,0.005 ,6906791 
20-Aug-2012,57.952,-0.027 ,29963394 
21-Aug-2012,58.173,0.000 ,5924754 
22-Aug-2012,57.810,-0.008 ,4507970 
23-Aug-2012,57.222,-0.004 ,2738433 
24-Aug-2012,56.799,-0.004 ,2511090 
27-Aug-2012,56.350,-0.005 ,2716277 
28-Aug-2012,56.130,-0.004 ,3997578 
29-Aug-2012,55.886,-0.002 ,3194106 
30-Aug-2012,55.214,-0.006 ,5224235 
31-Aug-2012,56.187,0.014 ,11952726 
03-Sep-2012,56.022,0.005 ,4781297 
